,Unnamed: 0,energy,number_of_atoms,volume,energy_per_atom,compound
22,886,-14.81812755,4,14.83597308,-3.433909148,Alfcc
23,887,-14.89343018,4,15.16566137,-3.452734805,Alfcc
24,888,-14.94859608,4,15.49534966,-3.46652628,Alfcc
25,889,-14.98575045,4,15.82503795,-3.475814873,Alfcc
26,890,-15.0068069,4,16.15472624,-3.481078985,Alfcc
27,891,-15.01348631,4,16.48441453,-3.482748838,Alfcc
28,892,-15.00733372,4,16.81410282,-3.48121069,Alfcc
29,893,-14.9897372,4,17.14379111,-3.47681156,Alfcc
30,894,-14.96194828,4,17.4734794,-3.46986433,Alfcc
31,895,-14.92508779,4,17.80316769,-3.460649208,Alfcc
32,896,-14.88016845,4,18.13285598,-3.449419373,Alfcc
